D_O_Y,daily_count
291,472394
279,476496
333,392146
312,447257
332,423285
342,504885
349,508401
57,500984
45,539684
72,552598
71,529308
86,514616
74,418081
111,467425
137,456758
159,384249
194,397304
209,469610
239,466090
213,438823
235,374497
263,413176
