D_O_Y,avg_trip_duration
4,915.1367098581685
2,969.3171709447041
10,993.5481132860942
50,980.790958707096
211,908.4150705792772
249,888.8675250911673
255,937.111062726391
72,993.9346726912443
12,925.7749123135827
121,838.105124963532
137,838.9299990250561
151,817.0981378519107
264,837.938355152339
315,934.2653731055121
331,766.3018496970669
